view,view_label,model,selected_c,selection_validation_auc,test_cases,accuracy,accuracy_95_ci,balanced_accuracy,f1,precision,recall,roc_auc,roc_auc_95_ci,brier_score,pairwise_accuracy,pair_count,true_negative,false_positive,false_negative,true_positive
first_turn,First substantive turn,structural,4.0,0.4866,840,0.5393,0.5055|0.5727,0.5393,0.5495,0.5376,0.5619,0.5614,0.52|0.5975,0.2487,0.5857,420,217,203,184,236
first_turn,First substantive turn,lexical,0.25,0.5245,840,0.5321,0.4983|0.5657,0.5321,0.5349,0.5318,0.5381,0.5512,0.5132|0.5904,0.2479,0.5595,420,221,199,194,226
first_turn,First substantive turn,combined,0.25,0.5206,840,0.5381,0.5043|0.5716,0.5381,0.5403,0.5377,0.5429,0.5564,0.5178|0.5958,0.2475,0.5595,420,224,196,192,228
opening_exchange,Opening two-turn exchange,structural,4.0,0.5251,840,0.5488,0.515|0.5822,0.5488,0.5629,0.5459,0.581,0.5577,0.5182|0.5948,0.2477,0.5833,420,217,203,176,244
opening_exchange,Opening two-turn exchange,lexical,0.25,0.533,840,0.5667,0.5329|0.5998,0.5667,0.5677,0.5664,0.569,0.5834,0.5452|0.6196,0.2454,0.5857,420,237,183,181,239
opening_exchange,Opening two-turn exchange,combined,4.0,0.5381,840,0.5238,0.49|0.5574,0.5238,0.5249,0.5237,0.5262,0.5516,0.514|0.5896,0.2709,0.5548,420,219,201,199,221
pre_outcome,All substantive turns available before the outcome,structural,4.0,0.6596,840,0.5988,0.5653|0.6314,0.5988,0.5824,0.6072,0.5595,0.6468,0.6038|0.6841,0.2361,0.6667,420,268,152,185,235
pre_outcome,All substantive turns available before the outcome,lexical,0.25,0.6218,840,0.6417,0.6087|0.6734,0.6417,0.6512,0.6343,0.669,0.6739,0.6396|0.7124,0.2335,0.6857,420,258,162,139,281
pre_outcome,All substantive turns available before the outcome,combined,0.25,0.6627,840,0.6381,0.605|0.6699,0.6381,0.632,0.6429,0.6214,0.6742,0.6356|0.71,0.2299,0.6833,420,275,145,159,261
